,Ticker,Close Price,Change %,Traded Value,Volume,Bid Price,Day High,Day Low,Date
107,Watania,0.46,-2.13%,"32,787.02","70,000",0.47,0.47,0.46,2018-04-15 07:58:55
108,Afkar Capital,4.05,-2.41%,"162,000.00","40,000",4.05,4.05,4.05,2017-11-05 06:48:41
109,Al Ain Al Ahlia Insu,38.00,-2.56%,"46,854.00","1,233",38.00,38.00,38.00,2018-03-01 09:37:03
110,UNB,3.68,-2.65%,"44,047.60","11,908",3.70,3.70,3.68,2018-04-19 10:00:00
111,Al Salam,0.52,-2.80%,"24,444.50","50,100",0.49,0.52,0.48,2018-04-18 09:39:01
112,RAK Properties,0.66,-2.94%,"300,100.47","447,941",0.67,0.67,0.66,2018-04-19 09:10:51
113,FAB,95.00,-3.06%,"9,025.00",95,95.00,95.00,95.00,2016-03-06 08:55:28
114,Gulf Cement,1.04,-3.70%,"108,041.44","103,886",1.04,1.04,1.04,2018-04-19 09:45:12
115,Al Firdous,0.70,-3.85%,"33,350.00","50,530",0.66,0.70,0.66,2011-06-13 09:22:22
116,International Holdin,1.38,-4.17%,"472,885.00","340,900",1.39,1.41,1.38,2018-04-19 10:00:00
117,Insurance House,0.85,-4.49%,"786,250.00","925,000",0.85,0.85,0.85,2018-03-14 08:42:16
118,Takaful,5.00,-4.58%,"18,360.00","3,672",5.00,5.00,5.00,2018-04-17 06:37:48
119,OIC,1.70,-5.56%,"276,583.20","162,696",1.70,1.70,1.70,2018-02-28 06:13:52
120,Emirates Driving,8.60,-6.52%,"172,000.00","20,000",8.60,8.60,8.60,2018-03-06 07:45:20
121,Union Insurance,1.39,-7.33%,"8,156.06","5,874",1.35,1.39,1.35,2018-04-19 10:00:00
122,CBI,0.60,-7.69%,330.00,550,0.60,0.60,0.60,2018-04-12 06:41:47
123,UAB,1.05,-8.70%,"9,786.00","9,320",1.05,1.05,1.05,2018-04-16 09:33:53
124,Ooredoo,90.00,-9.09%,"93,330.00","1,037",90.00,90.00,90.00,2018-03-20 09:39:05
125,Al Khaleej Investmen,2.15,-9.28%,"64,500.00","30,000",2.15,2.15,2.15,2018-04-12 06:42:35
126,Sharjah Insurance,3.49,-9.35%,"768,759.75","220,275",3.49,3.49,3.49,2017-09-28 07:29:03
127,IFA,0.31,-9.38%,"12,978.00","42,000",0.31,0.31,0.31,2018-04-08 09:24:55
128,AXA Green Cresent,0.86,-9.47%,"1,910.92","2,222",0.86,0.86,0.86,2018-04-11 08:21:53
129,ERC,2.97,-9.73%,"14,850.00","5,000",2.97,2.97,2.97,2018-03-25 09:55:00
130,Ajman Bank,0.24,-9.85%,"16,014,645.07","66,737,006",0.25,0.26,0.24,2016-06-02 09:57:06
131,Al Sagr,2.19,-9.88%,"3,285.00","1,500",2.19,2.19,2.19,2018-03-07 06:16:37
132,Al Safwa Mubasher,0.66,-9.88%,"8,146.80","12,400",0.66,0.66,0.66,2018-03-29 07:59:07
133,NIH,0.85,-9.97%,"51,597.98","60,775",0.85,0.85,0.85,2017-02-05 09:11:03
134,National Cement,3.06,-10.00%,"55,829.70","18,245",3.06,3.06,3.06,2018-04-11 07:35:40
135,ARIG,1.35,-10.00%,"7,830.00","5,800",1.35,1.35,1.35,2018-01-03 07:19:48
136,EIC,6.30,-10.00%,"2,742,150.60","435,262",6.30,6.30,6.30,2018-04-11 09:22:16
137,Dwajen RAK,2.70,-10.00%,"121,500.00","45,000",2.70,2.70,2.70,2018-04-17 09:00:31
138,Foodco,4.77,-10.00%,"7,765.56","1,628",4.77,4.77,4.77,2018-03-22 06:38:08
