,Ticker,Name,Close Price,Change %,Traded Value,Volume,Bid Price,Day High,Day Low,Date
85,UNBE,Union National Bank,7.64,0.39%,"216,224.41","28,133",7.66,7.92,7.64,2018-04-22 12:28:31
86,COMI,CIB,89.00,0.36%,"17,343,378.00","193,386",89.36,90.10,88.75,2018-04-22 12:29:08
87,ACGC,Arab Cotton Ginning,6.42,0.31%,"17,589,126.00","2,732,378",6.42,6.50,6.39,2018-04-22 12:29:52
88,OCPH,October Pharma,64.01,0.30%,"64,079.60","1,000",63.89,64.10,64.01,2018-04-22 11:16:44
89,CIRA,Cairo Investment & R,21.01,0.29%,"177,256.94","8,583",20.59,21.01,20.54,2015-01-20 12:29:46
90,NRPD,National Real Estate,7.81,0.26%,"521,943.31","66,744",7.80,7.94,7.78,2018-04-22 12:28:19
91,ELWA,El Wadi,7.78,0.26%,"1,801,192.88","232,111",7.74,7.82,7.68,2018-04-22 12:29:58
92,EDBM,Lift Slab Misr,7.92,0.25%,"2,053,775.75","253,100",8.09,8.34,7.92,2018-04-22 12:28:56
93,EGAL,Egypt Aluminum,69.38,0.16%,"29,177,374.00","414,387",70.30,73.49,69.21,2018-04-22 12:29:47
94,CIEB,Credit Agricole,48.80,0.10%,"973,955.81","19,909",48.87,49.00,48.60,2018-04-22 12:29:58
95,NIPH,Nile Pharmaceuticals,16.52,0.06%,"95,065.76","5,713",16.63,16.70,16.52,2018-04-22 12:29:34
96,ACRO,Acrow Misr,29.89,0.03%,"300,072.59","10,014",29.96,30.00,29.89,2018-04-22 12:18:17
97,NASR,ELMACO,16.15,0.00%,"1,922,585.13","120,151",16.00,16.15,16.00,2018-03-29 12:29:51
98,BEGA,Galina,27.25,0.00%,"13,625.00",500,27.25,27.25,27.25,2004-08-03 00:00:00
99,AMES,Alexandria New Medic,26.50,0.00%,"7,954.40",300,28.48,26.52,26.50,2018-04-22 12:29:58
100,MPCI,Memphis Pharmaceutic,13.48,0.00%,"28,144.08","2,076",13.56,14.00,13.48,2018-04-22 12:28:52
