,Ticker,Close Price,Change %,Traded Value,Volume,Bid Price,Day High,Day Low,Date
63,EAC,1.13,0.90%,"448,560.03","402,058",1.11,1.14,1.09,2018-04-19 12:29:20
64,Advanced Pharmaceuti,2.40,0.87%,"87,331.66","37,407",2.31,2.40,2.30,2017-03-02 12:28:36
65,Mopco,103.11,0.84%,"3,302,211.75","31,854",102.81,104.00,102.00,2018-04-19 12:27:01
66,Al Ahly for Developm,11.50,0.78%,"3,457,394.50","296,670",11.56,11.86,11.43,2018-04-19 12:29:00
67,Al Shams Housing,6.80,0.75%,"1,451,222.88","215,100",6.70,6.80,6.70,2018-04-19 12:29:58
68,Delta Sugar,27.35,0.73%,"425,625.59","15,466",27.32,27.83,27.30,2018-04-19 12:29:06
69,AELOAD,1.45,0.69%,"5,367,254.50","3,686,087",1.45,1.47,1.44,2018-04-19 12:29:55
70,Delta Construction &,6.39,0.65%,"691,983.13","110,896",6.20,6.43,6.16,2018-04-19 12:29:14
71,Dice,26.99,0.64%,"2,371,202.00","88,020",26.77,27.00,26.00,2018-04-19 12:28:15
72,Canal Shipping Agenc,15.00,0.54%,"3,240,379.25","217,888",14.79,15.15,14.75,2018-04-19 12:29:01
73,Acrow Misr,29.99,0.50%,"2,302,355.00","76,841",29.81,30.00,29.75,2018-04-19 12:24:05
74,Madinet Nasr Housing,13.01,0.46%,"8,798,387.00","673,039",13.01,13.22,12.96,2018-04-19 12:29:54
75,Eastern Co,610.00,0.45%,"29,751,492.00","49,366",599.98,614.89,592.10,2018-04-19 12:29:58
76,NBK,39.65,0.34%,"128,534.40","3,080",41.59,42.00,39.65,2018-04-19 12:09:09
77,Sharm Dreams,6.32,0.31%,"504,835.75","79,042",6.37,6.52,6.30,2018-04-19 12:25:07
78,Cairo Investment & R,21.01,0.29%,"177,256.94","8,583",20.59,21.01,20.54,2015-01-20 12:29:46
79,Domty,12.24,0.25%,"3,879,953.25","322,600",12.00,12.30,12.00,2018-04-19 12:02:36
80,Emaar Misr,4.60,0.22%,"4,159,845.25","901,290",4.61,4.68,4.54,2018-04-19 12:29:58
81,Orascom Construction,161.70,0.09%,"5,305,868.00","32,475",163.24,165.00,161.02,2018-04-19 12:29:58
82,ELMACO,16.15,0.00%,"1,922,585.13","120,151",16.00,16.15,16.00,2018-03-29 12:29:51
83,Galina,27.25,0.00%,"13,625.00",500,27.25,27.25,27.25,2004-08-03 00:00:00
84,Alexandria New Medic,26.19,0.00%,"15,994.10",573,28.48,28.15,26.19,2018-04-19 12:28:49
